ID	Sample.Code	Institution	Catalog.Number	Population.Code	Population	Transect.Position	Day	Month	Year	Country	Department	Locality.Name	Latitude	Longitude	Verbatim.Elevation	Bioclim.Elevation	Age	Sex	Mass	Wing.length	PC1.plumage
B72769.Huanuco.Mitotambo	CA27b_Mitotambo	LSUMZ	B-72769	14	Carpish	809.81	22	June	2010	Peru	Huanuco	Rincon, 2 km N Mitotambo	-9.87417	-76.42155	3200	3350	a	f	29.2	77.91	NA
B72770.Huanuco.Mitotambo	CA28b_Mitotambo	LSUMZ	B-72770	14	Carpish	809.81	22	June	2010	Peru	Huanuco	Rincon, 2 km N Mitotambo	-9.87417	-76.42155	3200	3350	j	f	23.7	NA	NA
B72771.Huanuco.Mitotambo	CA29b_Mitotambo	LSUMZ	B-72771	14	Carpish	809.81	22	June	2010	Peru	Huanuco	Rincon, 2 km N Mitotambo	-9.87417	-76.42155	3200	3350	j	m	25.5	NA	NA
B72772.Huanuco.Mitotambo	CA30b_Mitotambo	LSUMZ	B-72772	14	Carpish	809.81	23	June	2010	Peru	Huanuco	Rincon, 2 km N Mitotambo	-9.87417	-76.42155	3200	3350	a	m	28.5	81.63	3.57623900867539
B72773.Huanuco.Mitotambo	CA31b_Mitotambo	LSUMZ	B-72773	14	Carpish	809.81	23	June	2010	Peru	Huanuco	Rincon, 2 km N Mitotambo	-9.87417	-76.42155	3200	3350	a	m	28	80.01	2.09107366739561
B72774.Huanuco.Mitotambo	CA32b_Mitotambo	LSUMZ	B-72774	14	Carpish	809.81	23	June	2010	Peru	Huanuco	Rincon, 2 km N Mitotambo	-9.87417	-76.42155	3200	3350	a	f	27.7	78.23	5.33785393608595
B72775.Huanuco.Mitotambo	CA33b_Mitotambo	LSUMZ	B-72775	14	Carpish	809.81	23	June	2010	Peru	Huanuco	Rincon, 2 km N Mitotambo	-9.87417	-76.42155	3200	3350	a	f	28.9	76.51	NA
B72753.Pasco.LaQuinua	CA11b_LaQuinua	LSUMZ	B-72753	15	LaQuinua	864.87	15	June	2010	Peru	Pasco	hills 1 km E La Quinua	-10.61816	-76.17191	3780	3832	a	f	27.6	77.95	7.08200040660357
B72754.Pasco.LaQuinua	CA12_LaQuinua	LSUMZ	B-72754	15	LaQuinua	864.87	15	June	2010	Peru	Pasco	hills 1 km E La Quinua	-10.61816	-76.17191	3780	3832	a	m	29.3	83.51	6.35301851068248
B72755.Pasco.LaQuinua	CA13b_LaQuinua	LSUMZ	B-72755	15	LaQuinua	864.87	15	June	2010	Peru	Pasco	hills 1 km E La Quinua	-10.61816	-76.17191	3780	3832	a	f	29.8	79.63	NA
B72756.Pasco.LaQuinua	CA14b_LaQuinua	LSUMZ	B-72756	15	LaQuinua	864.87	15	June	2010	Peru	Pasco	hills 1 km E La Quinua	-10.61816	-76.17191	3780	3832	a	m	30.7	82.43	6.85605562403493
B72757.Pasco.LaQuinua	CA15b_LaQuinua	LSUMZ	B-72757	15	LaQuinua	864.87	15	June	2010	Peru	Pasco	hills 1 km E La Quinua	-10.61816	-76.17191	3780	3832	a	f	30.3	77.33	4.97119305186431
B72758.Pasco.LaQuinua	CA16b_LaQuinua	LSUMZ	B-72758	15	LaQuinua	864.87	16	June	2010	Peru	Pasco	hills 1 km E La Quinua	-10.61816	-76.17191	3780	3832	a	m	30	83.21	6.66046736020571
B72759.Pasco.LaQuinua	CA17b_LaQuinua	LSUMZ	B-72759	15	LaQuinua	864.87	16	June	2010	Peru	Pasco	hills 1 km E La Quinua	-10.61816	-76.17191	3780	3832	a	m	28.7	81.56	5.93936397622684
B72760.Pasco.LaQuinua	CA18_LaQuinua	LSUMZ	B-72760	15	LaQuinua	864.87	16	June	2010	Peru	Pasco	hills 1 km E La Quinua	-10.61816	-76.17191	3780	3832	a	m	30.1	80.13	4.95280249561968
B72806.Ancash.Macate	CA64b_Macate	LSUMZ	B-72806	16	Macate	553.39	10	July	2010	Peru	Ancash	Macate	-8.75478	-78.04845	2950	3111	a	m	22.7	74.56	-4.41865956826926
B72807.Ancash.Macate	CA65_Macate	LSUMZ	B-72807	16	Macate	553.39	10	July	2010	Peru	Ancash	Macate	-8.75478	-78.04845	2950	3111	a	?	20.7	70.29	-4.18114002449519
B72808.Ancash.Macate	CA66_Macate	LSUMZ	B-72808	16	Macate	553.39	11	July	2010	Peru	Ancash	Macate	-8.75478	-78.04845	2950	3111	a	m	21.7	NA	NA
B72809.Ancash.Macate	CA67b_Macate	LSUMZ	B-72809	16	Macate	553.39	10	July	2010	Peru	Ancash	Macate	-8.75478	-78.04845	2950	3111	a	f	20.7	69.99	-3.0608909191547
B72810.Ancash.Macate	CA68_Macate	LSUMZ	B-72810	16	Macate	553.39	12	July	2010	Peru	Ancash	Macate	-8.75478	-78.04845	2950	3111	a	f	22.6	68.17	-3.68794454285009
B72811.Ancash.Macate	CA69_Macate	LSUMZ	B-72811	16	Macate	553.39	12	July	2010	Peru	Ancash	Macate	-8.75478	-78.04845	2950	3111	a	m	20.8	73.51	-4.43458392547863
B72812.Ancash.Macate	CA70b_Macate	LSUMZ	B-72812	16	Macate	553.39	12	July	2010	Peru	Ancash	Macate	-8.74132	-78.05166	3326	3546	a	m	27	73.93	-2.61217995413549
B72813.Ancash.Macate	CA71_Macate	LSUMZ	B-72813	16	Macate	553.39	12	July	2010	Peru	Ancash	Macate	-8.74132	-78.05166	3326	3546	a	f	21.6	70.17	-2.64890395323254
B72814.Ancash.Macate	CA72b_Macate	LSUMZ	B-72814	16	Macate	553.39	12	July	2010	Peru	Ancash	Macate	-8.74496	-78.04255	3613	3445	a	f	23.9	70.9	-4.61649499311845
B72815.Ancash.Macate	CA73_Macate	LSUMZ	B-72815	16	Macate	553.39	12	July	2010	Peru	Ancash	Macate	-8.74308	-78.03952	3713	3629	a	f	24.9	73.8	-3.58698566890143
NK_171570	CA2nm_Macate	MSB	171570	16	Macate	553.39	9	July	2010	Peru	Ancash	Macate	-8.75478	-78.04845	2972	3111	a	m	20	NA	NA
NK_173870	CA10nm_Macate	MSB	173870	16	Macate	553.39	20	May	2011	Peru	Ancash	Macate	-8.74247	-78.0407	3740	3629	a	m	23.49	NA	NA
B72904.Ancash.Pacar	CA161a_Pacar	LSUMZ	B-72904	17	Pacar	692.7	22	August	2011	Peru	Ancash	Pacar, 2.6 km. NW Marca	-10.079	-77.498	2759	2888	a	m	18.2	68.93	NA
B72905.Ancash.Pacar	CA162_Pacar	LSUMZ	B-72905	17	Pacar	692.7	22	August	2011	Peru	Ancash	Pacar, 2.6 km. NW Marca	-10.079	-77.496	2885	2888	j	m	15.2	NA	NA
B72906.Ancash.Pacar	CA163a_Pacar	LSUMZ	B-72906	17	Pacar	692.7	22	August	2011	Peru	Ancash	Pacar, 2.6 km. NW Marca	-10.078	-77.495	2913	2888	a	f	18.2	65.79	NA
B72907.Ancash.Pacar	CA164_Pacar	LSUMZ	B-72907	17	Pacar	692.7	22	August	2011	Peru	Ancash	Pacar, 2.6 km. NW Marca	-10.075	-77.494	2916	2888	a	m	17.9	69.65	NA
B72908.Ancash.Pacar	CA165_Pacar	LSUMZ	B-72908	17	Pacar	692.7	22	August	2011	Peru	Ancash	Pacar, 2.6 km. NW Marca	-10.075	-77.494	2916	2888	a	f	17.5	66.14	NA
B72909.Ancash.Pacar	CA166_Pacar	LSUMZ	B-72909	17	Pacar	692.7	22	August	2011	Peru	Ancash	Pacar, 2.6 km. NW Marca	-10.074	-77.494	2913	2993	a	m	NA	70.78	NA
B72910.Ancash.Pacar	CA167_Pacar	LSUMZ	B-72910	17	Pacar	692.7	22	August	2011	Peru	Ancash	Pacar, 2.6 km. NW Marca	-10.072	-77.494	2912	2993	a	m	18.4	67.14	NA
B72911.Ancash.Pacar	CA168_Pacar	LSUMZ	B-72911	17	Pacar	692.7	22	August	2011	Peru	Ancash	Pacar, 2.6 km. NW Marca	-10.074	-77.496	2704	2993	a	m	18.8	71.46	NA
B72912.Ancash.Pacar	CA169a_Pacar	LSUMZ	B-72912	17	Pacar	692.7	22	August	2011	Peru	Ancash	Pacar, 2.6 km. NW Marca	-10.074	-77.496	2704	2993	a	m	18.8	68.4	NA
B72776.Lima.Quichas	CA34b_Quichas	LSUMZ	B-72776	18	Quichas	800.16	26	June	2010	Peru	Lima	2 km NNE Quichas	-10.56675	-76.75586	4100	4273	a	f	19.1	68.21	4.57072320531817
B72777.Lima.Quichas	CA35b_Quichas	LSUMZ	B-72777	18	Quichas	800.16	26	June	2010	Peru	Lima	2 km NNE Quichas	-10.56675	-76.75586	4100	4273	a	m	21.4	66.33	6.31348112954308
B72778.Lima.Quichas	CA36_Quichas	LSUMZ	B-72778	18	Quichas	800.16	26	June	2010	Peru	Lima	2 km NNE Quichas	-10.5635	-76.7579	4300	4344	a	f	19.9	65.82	6.45732130233968
B72779.Lima.Quichas	CA37b_Quichas	LSUMZ	B-72779	18	Quichas	800.16	26	June	2010	Peru	Lima	2 km NNE Quichas	-10.5635	-76.7579	4300	4344	a	m	20.9	NA	6.01707536106259
B72780.Lima.Quichas	CA38b_Quichas	LSUMZ	B-72780	18	Quichas	800.16	26	June	2010	Peru	Lima	2 km NNE Quichas	-10.56875	-76.75785	4050	4273	a	m	21.1	NA	4.81650648588435
B72781.Lima.Quichas	CA39b_Quichas	LSUMZ	B-72781	18	Quichas	800.16	27	June	2010	Peru	Lima	2 km NNE Quichas	-10.569925	-76.756596	4060	4273	a	f	19.4	67.11	5.25643066076901
B72782.Lima.Quichas	CA40b_Quichas	LSUMZ	B-72782	18	Quichas	800.16	27	June	2010	Peru	Lima	2 km NNE Quichas	-10.56789	-76.75635	4060	4273	j	m	18.8	NA	NA
B72783.Lima.Quichas	CA41_Quichas	LSUMZ	B-72783	18	Quichas	800.16	27	June	2010	Peru	Lima	2 km NNE Quichas	-10.56789	-76.75635	4060	4273	j	f	17.6	NA	NA
B72784.Lima.Quichas	CA42_Quichas	LSUMZ	B-72784	18	Quichas	800.16	27	June	2010	Peru	Lima	2 km NNE Quichas	-10.56789	-76.75635	4060	4273	a	m	19.6	NA	NA
B72785.Lima.Quichas	CA43b_Quichas	LSUMZ	B-72785	18	Quichas	800.16	27	June	2010	Peru	Lima	2 km NNE Quichas	-10.56789	-76.75635	4060	4273	a	f	19.7	69.74	3.43171018438826
B72786.Lima.Quichas	CA44b_Quichas	LSUMZ	B-72786	18	Quichas	800.16	27	June	2010	Peru	Lima	2 km NNE Quichas	-10.56789	-76.75635	4060	4273	j	m	19	NA	NA
B72787.Lima.Quichas	CA45_Quichas	LSUMZ	B-72787	18	Quichas	800.16	27	June	2010	Peru	Lima	2 km NNE Quichas	-10.56789	-76.75635	4060	4273	a	m	19.7	NA	NA
FMNH_391884	CA170_Quichas	FMNH	391884	18	Quichas	800.16	9	Sep	1998	Lima	Oyon	Maticuna	-10.65	-76.8333	3990	4410	u	m	NA	NA	NA
FMNH_391885	CA171_Quichas	FMNH	391885	18	Quichas	800.16	10	Sep	1998	Lima	Oyon	Maticuna	-10.65	-76.8333	3990	4410	u	NA	NA	NA	NA
FMNH_391887	CA173_Quichas	FMNH	391887	18	Quichas	800.16	12	Sep	1998	Lima	Oyon	Maticuna	-10.65	-76.8333	3990	4410	u	f	NA	NA	NA
FMNH_391891	CA177_Quichas	FMNH	391891	18	Quichas	800.16	8	Jul	1998	Lima	Oyon	Quichas	-10.55	-76.7667	4200	4224	u	m	NA	NA	NA
B72889.Lima.Huamatanga	CA146a_Huamatanga	LSUMZ	B-72889	19	Huamatanga	862	19	August	2011	Peru	Lima	km. 17 between San Jose and Huamantagna, 5.5 km. W San Jose	-11.515	-76.729	3245	3241	a	m	21.9	68.41	NA
B72892.Lima.Huamatanga	CA149_Huamatanga	LSUMZ	B-72892	19	Huamatanga	862	19	August	2011	Peru	Lima	km. 17 between San Jose and Huamantagna, 5.5 km. W San Jose	-11.519	-76.723	3055	2764	a	f	21	NA	NA
